Typ aktywności,Data,Ulubiony,Tytuł,Dystans,Kalorie,Czas,Średnie tętno,Maksymalne tętno,Aerobowy TE,Średni rytm biegu,Maksymalny rytm biegu,Średnie tempo,Najlepsze tempo,Całkowity wznios,Całkowity spadek,Średnia długość kroku,Średnie odchylenie do długości,Średnie odchylenie pionowe,Training Stress Score® (TSS®),Trudność,Płynność,Czas nurkowania,Minimalna temperatura,Przerwa powierzchniowa,Dekompresja,Czas najlepszego okrążenia,Liczba okrążeń,Maksymalna temperatura,Czas ruchu,Upłynęło czasu,Minimalna wysokość,Maksymalna wysokość
Bieganie,2020-10-15 16:55:30,false,"Myślenice Bieg","8.22","521","00:44:21","138","157","2.9","168","227","5:24","4:37","167","183","1.11","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","01:12.73","9","0.0","00:44:13","00:49:02","260","350"
Bieganie,2020-10-11 11:37:38,false,"Myślenice Bieg","6.10","406","00:35:17","135","149","2.6","169","201","5:47","4:50","111","127","1.02","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:35.10","7","0.0","00:35:16","00:35:17","260","350"
Bieganie,2020-10-07 19:02:16,false,"Kraków Bieg","10.85","625","00:59:12","137","171","2.7","162","248","5:27","2:58","2","2","1.12","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:27.37","42","0.0","00:58:36","01:02:34","249","253"
Bieganie,2020-10-06 20:18:43,false,"Myślenice Bieg","6.14","389","00:34:26","134","147","2.5","166","197","5:36","4:29","107","120","1.08","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:51.18","7","0.0","00:34:25","00:35:01","261","350"
Bieganie,2020-10-04 12:09:49,false,"Myślenice Bieg","6.42","394","00:39:21","128","144","2.3","165","226","6:08","4:19","129","126","0.99","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","04:03.49","7","0.0","00:39:15","00:49:33","260","350"
Bieganie,2020-10-03 13:06:40,false,"Brzesko Bieg","5.25","389","00:22:05","--","--","--","178","188","4:13","3:52","15","18","1.34","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","01:00.43","6","0.0","00:22:04","00:22:08","218","242"
Bieganie,2020-10-01 21:17:27,false,"Siepraw Bieg","8.34","527","00:45:53","136","157","2.6","166","236","5:30","3:07","2","2","1.10","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:08.100","10","0.0","00:45:28","00:52:49","262","265"
Bieganie,2020-09-29 16:17:26,false,"Siepraw - Owb1 3km + SPR + ZB(10x400m na 200m trucht) + trucht 10min","11.58","847","01:08:44","--","--","--","165","245","5:56","3:26","2","3","1.01","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","01:15.69","26","0.0","01:05:53","01:09:21","262","265"
Bieganie,2020-09-28 16:38:46,false,"Myślenice Bieg","6.04","365","00:34:12","130","141","2.2","166","207","5:40","4:18","110","127","1.06","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:14.80","7","0.0","00:34:11","00:34:17","260","350"
Bieganie,2020-09-27 13:30:10,false,"Myślenice Bieg","9.95","741","00:43:08","--","--","--","177","192","4:20","3:38","17","18","1.30","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","03:54.59","10","0.0","00:43:04","00:43:10","277","287"
Bieganie,2020-09-25 16:49:12,false,"Siepraw - Owb1 4km + SPR biegowa + rytmy 8x100m szybko na 100m trucht + rozciąganie","6.95","524","00:53:22","132","162","3.0","161","210","7:41","3:12","--","--","0.79","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:20.35","23","0.0","00:40:28","00:54:49","262","265"
Bieganie,2020-09-24 19:05:21,false,"Kraków Bieg","4.85","339","00:39:44","--","--","--","150","245","8:12","2:26","15","15","0.81","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","06:43.64","5","0.0","00:36:15","01:35:42","225","241"
Bieganie,2020-09-22 19:51:47,false,"Wieliczka Bieg","11.14","686","00:59:53","144","171","3.5","163","231","5:22","3:13","317","307","1.13","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:40.53","33","0.0","00:59:43","01:20:17","229","245"
Bieganie,2020-09-21 17:24:04,false,"Kraków Bieg","6.04","346","00:31:44","133","141","2.3","164","174","5:15","4:21","46","40","1.16","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:10.36","7","0.0","00:31:41","00:33:34","222","263"
Bieganie,2020-09-17 18:54:20,false,"Kraków Bieg","9.76","622","00:55:08","142","174","3.0","164","245","5:39","3:18","114","116","1.06","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:08.01","28","0.0","00:53:02","01:22:57","224","241"
Bieganie,2020-09-15 19:01:52,false,"Kraków Bieg","10.74","665","01:02:55","139","173","3.2","157","237","5:51","2:31","17","20","1.06","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:29.83","26","0.0","01:02:25","01:20:07","198","213"
Bieganie,2020-09-14 16:54:06,false,"Kraków Bieg","3.78","306","00:25:57","132","157","2.1","156","249","6:51","2:19","2","--","0.93","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","01:33.68","5","0.0","00:24:07","01:19:04","206","208"
Bieganie,2020-09-13 20:54:30,false,"Kraków Bieg","12.06","618","01:03:48","132","150","2.5","165","182","5:17","4:09","18","18","1.14","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:28.42","13","0.0","01:03:45","01:12:47","198","208"
Bieganie,2020-09-09 19:02:09,false,"Kraków Bieg","5.18","371","00:34:57","--","--","--","156","226","6:45","3:01","2","3","0.95","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","01:16.60","6","0.0","00:33:01","01:26:39","249","254"
Bieganie,2020-09-08 19:01:49,false,"Kraków Bieg","8.89","634","00:54:01","--","--","--","155","248","6:04","3:00","17","18","1.04","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:02.74","14","0.0","00:50:57","01:11:49","176","213"
Bieganie,2020-09-06 13:05:37,false,"Myślenice Bieg","17.17","1,278","01:30:36","--","--","--","168","204","5:17","4:17","298","296","1.13","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","01:37.58","18","0.0","01:30:18","01:35:07","260","358"
Bieganie,2020-09-03 15:50:43,false,"Solina Bieg","8.04","599","00:38:32","--","--","--","171","184","4:48","4:01","79","76","1.22","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:19.05","9","0.0","00:38:28","00:45:37","433","490"
Bieganie,2020-09-02 16:28:20,false,"Solina Bieg","7.88","584","00:38:28","--","--","--","170","184","4:53","4:06","74","77","1.20","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","04:29.96","8","0.0","00:38:23","00:47:34","432","490"
Bieganie,2020-09-01 14:54:12,false,"Solina Bieg","13.26","973","01:13:57","--","--","--","162","180","5:34","3:23","314","316","1.09","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","01:30.41","14","0.0","01:13:39","01:42:16","400","522"
Bieganie,2020-08-29 20:40:29,false,"Kraków Bieg","5.52","382","00:30:40","--","--","--","161","242","5:33","3:34","242","245","1.11","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","03:56.29","6","0.0","00:30:20","00:31:16","236","355"
Bieganie,2020-08-27 19:05:17,false,"Kraków Bieg","5.18","382","00:53:34","--","--","--","140","249","10:20","2:56","35","36","0.69","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","01:24.48","6","0.0","00:47:45","01:24:28","227","238"
Bieganie,2020-08-25 19:01:20,false,"Kraków Bieg","12.10","836","01:14:18","--","--","--","152","196","6:08","3:15","17","19","1.04","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:04.01","29","0.0","01:11:44","01:28:35","198","213"
Bieganie,2020-08-23 15:06:28,false,"Myślenice Bieg","15.03","1,129","01:15:30","--","--","--","169","181","5:01","4:12","78","80","1.18","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","00:10.92","16","0.0","01:15:19","01:28:28","283","311"
Bieganie,2020-08-20 19:04:25,false,"Kraków Bieg","9.77","720","01:06:44","--","--","--","158","190","6:50","3:30","53","54","0.93","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","05:02.42","10","0.0","01:03:56","01:17:44","224","241"
Bieganie,2020-08-19 19:02:55,false,"Kraków Bieg","5.93","444","00:37:52","--","--","--","158","248","6:23","2:56","3","3","0.99","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","04:22.23","6","0.0","00:34:14","01:21:47","249","253"
Bieganie,2020-08-18 21:32:21,false,"Myślenice Bieg","6.29","472","00:29:46","--","--","--","171","180","4:44","4:03","126","127","1.24","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","01:28.59","7","0.0","00:29:45","00:29:46","260","350"
Bieganie,2020-08-16 11:47:18,false,"Myślenice Bieg","13.18","955","01:16:28","--","--","--","162","230","5:48","4:06","332","300","1.06","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","01:00.87","14","0.0","01:16:14","01:33:16","326","610"
Bieganie,2020-08-15 19:46:52,false,"Myślenice Bieg","6.37","481","00:31:02","--","--","--","170","243","4:52","3:44","128","128","1.21","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","02:02.01","7","0.0","00:31:01","00:34:35","260","350"
Bieganie,2020-08-13 19:05:44,false,"Kraków Bieg","6.19","467","00:44:43","--","--","--","159","239","7:13","2:51","34","30","0.87","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nie","01:09.25","7","0.0","00:37:11","01:18:41","224","241"
